Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
12:00 AM,Naturescape,hanky hank,science max,insider food,hanky hank,lwif,Technology Connections
12:30 AM,Naturescape,hanky hank,at furniture restoration,Weekly show jon stewart,insider food,hanky hank,Technology Connections
1:00 AM,do you know,newshour,mr rogers,baum,hanky hank,ahoy,wallis
1:30 AM,Franklin S1,Franklin S1,mould,rest is science,gmm,Naturescape,hanky hank
2:00 AM,rest is science,baum,insider food,rest is science,insider food,rest is science,mr rogers
2:30 AM,Insider food,baum,Technology Connections,rest is science,ahoy,rest is science,mr rogers
3:00 AM,mr rogers,Naturescape,bell,rest is science,weekly show jon stewart,bell,rest is science
3:30 AM,baum,weekly show jon stewart,Weekly show jon stewart,rest is science,weekly show jon stewart,mr rogers,Weekly show jon stewart
4:00 AM,hanky hank,weekly show jon stewart,bell,Weekly show jon stewart,weekly show jon stewart,mr rogers,Weekly show jon stewart
4:30 AM,Weekly show jon stewart,insider food,bell,Rest is politics,Rest is politics,weekly show jon stewart,Weekly show jon stewart
5:00 AM,Weekly show jon stewart,rest is politics,Rest is politics,Rest is politics,Rest is politics,rest is politics,Rest is politics
5:30 AM,rest is politics,rest is politics,Rest is politics,Rest is politics,Rest is politics,rest is politics,Rest is politics
6:00 AM,rest is politics,rest is politics,A closer look,Rest is politics,Rest is politics,rest is politics,Rest is politics
6:30 AM,rest is politics,rest is politics,Rest is politics,Rest is politics,Rest is politics,rest is politics,Rest is politics
7:00 AM,rest is politics,rest is politics,Rest is politics,Rest is politics,Rest is politics,rest is politics,Rest is politics
7:30 AM,rest is politics,rest is politics,Rest is politics,Rest is politics,Rest is politics,rest is politics,Rest is politics
8:00 AM,rest is politics,Naturescape,Rest is politics,Rest is politics,Rest is politics,rest is politics,Rest is politics
8:30 AM,Naturescape,Naturescape,Naturescape,Rest is politics,Rest is politics,rest is politics,Rest is politics
9:00 AM,Naturescape,Naturescape,Naturescape,Gofg,Rest is politics,Naturescape,Naturescape
9:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape
10:00 AM,rest is politics,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape
10:30 AM,rest is politics,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape
11:00 AM,rest is politics,Big City Greens,Big City Greens,Rest is politics,Naturescape,Naturescape,Naturescape
11:30 AM,rest is politics,Big City Greens,Big City Greens,Rest is politics,Naturescape,Naturescape,Naturescape
12:00 PM,Naturescape,Big City Greens,Big City Greens,Rest is politics,Naturescape,Naturescape,Naturescape
12:30 PM,Naturescape,Last week tonight,Last week tonight,Rest is politics,Naturescape,Naturescape,Naturescape
1:00 PM,Naturescape,The Problem With Jon Stewart,The Problem With Jon Stewart,The Problem With Jon Stewart,Big City Greens,Naturescape,Big City Greens
1:30 PM,Naturescape,Technology Connections,Technology Connections,Technology Connections,Big City Greens,Naturescape,Big City Greens
2:00 PM,Big City Greens,Big City Greens,Big City Greens,Technology Connections,Big City Greens,Big City Greens,Big City Greens
2:30 PM,Big City Greens,Big City Greens,Technology Connections,bell,Last week tonight,Big City Greens,Big City Greens
3:00 PM,Big City Greens,Big City Greens,bell,big city greens,The Problem With Jon Stewart,do you know,rest is science
3:30 PM,Last week tonight,Last week tonight,mr bean tas,A Closer Look,Naturescape,hanky hank,rest is science
4:00 PM,The Problem With Jon Stewart,bell,Big City Greens,pbs kids,The Problem With Jon Stewart,pbs kids,rest is science
4:30 PM,Technology Connections,The Problem With Jon Stewart,Franklin S1,Lwif,The Problem With Jon Stewart,mr bean tas,Lwif
5:00 PM,Technology Connections,bell,Baum,Lwif,Technology Connections,mr bean tas,Lwif
5:30 PM,Technology Connections,Gumball,mr bean tas,howtown,Naturescape,Big City Greens,Lwif
6:00 PM,rest is politics,Last week tonight,Last week tonight,hanky hank,Survivorman S2,do you know,Hey duggee s1
6:30 PM,Big City Greens,Technology Connections,Franklin S1,Last week tonight,Naturescape,gumball,Technology Connections
7:00 PM,Big City Greens,Lwif,Franklin S1,Hey Duggee S1,Naturescape,Lwif,Technology Connections
7:30 PM,mr rogers,Pbs Kids,science max,do you know,Pbs Kids,a closer look,Big City Greens
8:00 PM,a closer look,Pbs Kids,pbs kids,do you know,Pbs Kids,a closer look,Big City Greens
8:30 PM,Lwif,Lwif,hanky hank,bell,Lwif,a closer look,Big City Greens
9:00 PM,Wendover,Naturescape,hanky hank,bell,Naturescape,a closer look,Big City Greens
9:30 PM,Naturescape,A closer look,A closer look,bell,Technology Connections,a closer look,Last week tonight
10:00 PM,Hey duggee s1,A closer look,hanky hank,lwif,baum,Franklin S1,Last week tonight
10:30 PM,hanky hank,do you know,Lwif,Last week tonight,mould,The Problem With Jon Stewart,rest is science
11:00 PM,hanky hank,do you know,gmm,Hey Duggee S1,do you know,Naturescape,rest is science
11:30 PM,insider food,science max,gmm,A Closer Look,do you know,Technology connections,Franklin S1
